STATION,STATION_NAME,DATE,TAVG
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20130401,49
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20130402,40
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20130403,40
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20130404,39
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20130405,47
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20130406,43
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20130407,44
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20130408,53
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20130409,62
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20130410,59
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20130411,54
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20130412,45
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20130413,45
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20130414,51
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20130415,48
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20130416,51
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20130417,58
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20130418,51
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20130419,56
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20130420,55
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20130421,46
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20130422,45
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20130423,45
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20130424,50
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20130425,54
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20130426,54
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20130427,55
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20130428,53
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20130429,53
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20130430,56
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20130501,54
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20130502,54
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20130503,54
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20130504,53
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20130505,50
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20130506,53
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20130507,57
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20130508,61
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20130509,59
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20130510,63
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20130511,61
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20130512,63
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20130513,53
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20130514,51
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20130515,55
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20130516,64
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20130517,65
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20130518,59
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20130519,57
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20130520,62
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20130521,67
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20130522,65
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20130523,65
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20130524,60
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20130525,49
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20130526,57
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20130527,60
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20130528,58
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20130529,63
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20130530,72
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20130531,73
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20130601,71
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20130602,68
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20130603,67
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20130604,67
